order_id,customer_id,order_date,order_status,payment_method
137,229,2023-12-30,Completed,Net Banking
138,381,2023-12-06,Completed,Wallet
139,475,2023-10-29,Completed,Net Banking
140,650,2023-02-24,Cancelled,Wallet
141,73,2024-09-27,Completed,Debit Card
142,123,2024-05-27,Completed,Wallet
143,424,2023-11-02,Completed,Debit Card
144,206,2023-05-21,Completed,Net Banking
145,469,2024-08-06,Completed,UPI
146,798,2023-07-04,Completed,Net Banking
147,647,2023-12-07,Completed,UPI
148,60,2024-10-11,Completed,Net Banking
149,215,2023-10-08,Completed,Wallet
150,502,2023-06-12,Completed,Debit Card
151,445,2024-09-21,Completed,Net Banking
152,489,2024-03-15,Completed,Credit Card
153,547,2023-02-08,Completed,UPI
154,330,2023-01-15,Cancelled,Debit Card
155,693,2023-01-19,Completed,Debit Card
156,711,2023-08-20,Completed,UPI
157,106,2023-05-13,Completed,Wallet
158,314,2024-08-25,Completed,Credit Card
159,306,2023-02-16,Completed,Net Banking
160,611,2024-06-16,Cancelled,UPI
161,704,2024-03-20,Completed,UPI
162,368,2024-05-16,Completed,Debit Card
163,20,2024-02-18,Completed,Debit Card
164,217,2023-05-15,Completed,Wallet
165,174,2024-05-31,Completed,UPI
166,39,2024-10-28,Completed,UPI
167,639,2024-07-01,Completed,Wallet
168,678,2023-02-19,Completed,Credit Card
169,707,2023-02-19,Completed,Net Banking
170,390,2024-03-30,Completed,Wallet
171,486,2023-09-16,Completed,Debit Card
172,10,2024-10-07,Completed,Net Banking
173,104,2024-11-08,Cancelled,UPI
174,621,2024-09-29,Completed,Net Banking
175,524,2023-04-18,Cancelled,Credit Card
176,117,2023-10-17,Completed,Net Banking
177,624,2023-07-23,Completed,UPI
178,207,2024-06-19,Completed,Net Banking
179,165,2023-10-30,Completed,Wallet
180,213,2024-05-23,Completed,UPI
181,3,2023-08-29,Completed,Credit Card
182,588,2023-04-24,Completed,Debit Card
183,799,2023-04-03,Cancelled,Credit Card
184,263,2023-04-14,Completed,Net Banking
185,271,2023-10-31,Completed,Credit Card
186,179,2023-04-13,Completed,UPI
187,694,2024-01-04,Completed,Net Banking
188,98,2023-04-29,Completed,Credit Card
189,680,2023-05-22,Completed,UPI
190,449,2024-01-02,Cancelled,UPI
191,382,2023-04-06,Completed,Debit Card
192,411,2023-04-27,Completed,Net Banking
193,395,2023-10-06,Completed,Net Banking
194,171,2024-10-26,Completed,Debit Card
195,164,2023-03-02,Completed,Net Banking
196,495,2024-08-27,Cancelled,Net Banking
197,626,2023-07-05,Completed,UPI
198,30,2024-09-18,Completed,Net Banking
199,116,2024-05-14,Completed,Net Banking
200,65,2023-02-17,Completed,UPI
201,722,2023-01-13,Cancelled,Wallet
202,230,2024-08-01,Completed,Wallet
203,705,2024-06-19,Cancelled,Credit Card
204,678,2024-03-19,Completed,Net Banking
205,680,2023-12-21,Completed,Debit Card
206,628,2024-07-25,Completed,Credit Card
207,161,2024-10-20,Cancelled,Net Banking
208,170,2024-05-22,Completed,Net Banking
209,247,2023-11-25,Completed,UPI
210,520,2023-02-21,Completed,Wallet
211,388,2024-10-20,Completed,Debit Card
212,471,2023-03-22,Completed,Wallet
213,91,2024-04-03,Completed,Net Banking
214,122,2023-11-20,Completed,Credit Card
215,414,2023-04-16,Completed,Credit Card
216,563,2024-07-24,Completed,Credit Card
217,634,2024-09-10,Completed,Wallet
218,212,2024-07-29,Completed,UPI
219,56,2024-01-08,Completed,Net Banking
220,574,2023-12-06,Cancelled,Wallet
221,734,2024-04-29,Completed,Net Banking
222,100,2023-04-27,Completed,Credit Card
223,364,2023-12-16,Completed,Wallet
224,383,2024-06-18,Completed,Credit Card
225,505,2023-06-18,Completed,Net Banking
226,261,2023-04-20,Cancelled,Debit Card
227,124,2023-07-12,Completed,Debit Card
228,196,2024-04-13,Completed,Credit Card
229,48,2024-02-29,Cancelled,Credit Card
230,469,2024-04-06,Cancelled,Wallet
231,511,2023-05-18,Completed,Wallet
232,567,2023-02-19,Completed,Wallet
233,521,2024-05-09,Completed,Wallet
234,749,2023-06-27,Completed,Credit Card
235,674,2024-02-01,Cancelled,Wallet
236,517,2023-11-26,Completed,Net Banking
237,710,2024-09-15,Completed,UPI
238,352,2024-02-12,Completed,Net Banking
239,142,2023-05-17,Completed,Wallet
240,307,2024-06-08,Cancelled,UPI
241,648,2024-07-20,Completed,Debit Card
242,640,2023-08-03,Completed,UPI
243,136,2024-11-19,Completed,Wallet
244,711,2024-07-09,Completed,Credit Card
245,576,2023-12-27,Completed,Wallet
246,684,2024-08-07,Completed,Wallet
247,433,2023-10-20,Completed,Wallet
248,26,2023-04-20,Completed,Debit Card
249,687,2023-02-24,Completed,Debit Card
250,769,2023-10-01,Completed,UPI
251,257,2024-11-30,Completed,Credit Card
252,209,2023-10-30,Cancelled,Credit Card
253,464,2024-01-03,Completed,Wallet
254,758,2024-11-22,Cancelled,Debit Card
255,575,2024-10-24,Completed,Debit Card
256,713,2024-06-07,Completed,Credit Card
257,397,2024-01-26,Completed,UPI
258,56,2024-07-19,Completed,UPI
259,636,2023-07-27,Completed,Debit Card
260,722,2024-10-10,Completed,Wallet
261,757,2024-07-13,Cancelled,Debit Card
262,302,2023-07-18,Completed,Debit Card
263,77,2024-11-30,Completed,Debit Card
264,123,2024-06-10,Completed,Credit Card
265,286,2024-03-14,Cancelled,UPI
266,165,2023-05-14,Cancelled,UPI
267,339,2023-01-06,Completed,Debit Card
268,158,2023-02-10,Completed,Wallet
269,793,2023-02-22,Cancelled,UPI
270,587,2024-05-17,Cancelled,UPI
271,725,2023-03-16,Completed,Wallet
272,189,2023-08-14,Cancelled,Credit Card
273,164,2024-06-01,Completed,Wallet
274,414,2024-07-03,Completed,UPI
275,219,2023-08-15,Completed,UPI
276,301,2024-01-05,Completed,Wallet
277,487,2024-06-27,Cancelled,Credit Card
278,685,2023-04-28,Completed,Net Banking
279,658,2023-09-04,Cancelled,Wallet
280,41,2023-09-07,Completed,Net Banking
281,396,2023-04-27,Completed,Wallet
282,26,2023-10-17,Cancelled,UPI
283,521,2024-06-10,Completed,Net Banking
284,304,2023-02-14,Completed,UPI
285,85,2024-06-10,Completed,Debit Card
286,547,2024-07-04,Completed,Credit Card
287,687,2023-08-04,Completed,Net Banking
288,211,2023-04-17,Cancelled,Net Banking
289,74,2024-10-24,Completed,Credit Card
290,735,2024-04-15,Completed,Credit Card
291,76,2023-03-31,Completed,Debit Card
292,572,2023-09-15,Completed,Wallet
293,265,2023-08-22,Completed,Net Banking
294,646,2024-04-06,Completed,Net Banking
295,18,2023-11-20,Completed,Credit Card
296,7,2024-07-01,Cancelled,Credit Card
297,47,2024-08-22,Completed,UPI
298,109,2024-05-29,Completed,UPI
299,89,2024-09-13,Completed,Net Banking
300,405,2024-01-26,Completed,Net Banking
301,547,2023-06-10,Completed,Debit Card
302,559,2024-02-05,Completed,Debit Card
303,694,2023-11-02,Completed,Credit Card
304,569,2024-07-20,Completed,Credit Card
305,6,2023-02-12,Cancelled,Wallet
306,551,2024-02-08,Cancelled,Credit Card
307,216,2023-11-09,Completed,Debit Card
308,662,2024-02-27,Cancelled,Debit Card
309,189,2023-06-14,Completed,Wallet
310,199,2023-09-16,Completed,Debit Card
311,581,2024-11-18,Completed,Wallet
312,661,2024-04-17,Cancelled,Credit Card
313,688,2023-10-25,Completed,UPI
314,203,2023-04-11,Cancelled,Net Banking
315,366,2023-12-05,Completed,Debit Card
316,292,2023-04-13,Cancelled,Credit Card
317,326,2023-07-18,Completed,Net Banking
318,632,2023-12-03,Completed,Wallet
319,580,2023-06-06,Cancelled,UPI
320,439,2023-11-20,Completed,Credit Card
321,253,2023-11-17,Completed,Net Banking
322,369,2023-10-11,Completed,UPI
323,474,2024-05-06,Completed,UPI
324,499,2023-11-09,Cancelled,Credit Card
325,662,2023-06-29,Cancelled,Credit Card
326,144,2023-10-15,Cancelled,Debit Card
327,752,2023-09-27,Completed,Credit Card
328,520,2023-01-20,Completed,Wallet
329,415,2024-08-15,Cancelled,Debit Card
330,565,2023-02-07,Completed,Wallet
331,484,2024-07-06,Completed,UPI
332,229,2024-02-06,Cancelled,UPI
333,476,2023-05-18,Cancelled,Wallet
334,407,2023-04-03,Completed,Wallet
335,679,2023-01-11,Completed,Wallet
336,170,2024-12-01,Cancelled,Debit Card
337,164,2024-04-01,Completed,Wallet
338,676,2024-08-02,Completed,Net Banking
339,42,2024-01-03,Completed,Net Banking
340,65,2023-08-26,Completed,UPI
341,44,2023-08-28,Completed,Wallet
342,398,2024-01-05,Completed,Net Banking
343,41,2023-02-17,Completed,Credit Card
344,649,2024-06-17,Completed,UPI
345,558,2024-08-15,Cancelled,Debit Card
346,670,2024-01-21,Completed,UPI
347,670,2024-08-24,Completed,Wallet
348,386,2023-09-15,Completed,Wallet
349,362,2024-02-20,Completed,Net Banking
350,619,2024-05-08,Completed,Wallet
351,451,2023-05-23,Completed,Debit Card
352,527,2023-03-20,Completed,Debit Card
353,192,2023-06-03,Completed,UPI
354,735,2024-09-08,Completed,Debit Card
355,339,2024-02-29,Completed,Net Banking
356,491,2024-11-22,Completed,Debit Card
357,166,2024-08-27,Completed,Credit Card
358,45,2023-09-07,Completed,Wallet
359,165,2024-08-29,Completed,Wallet
360,587,2023-02-10,Completed,Credit Card
361,265,2023-06-20,Completed,Wallet
362,614,2024-02-20,Cancelled,Credit Card
363,291,2024-11-08,Completed,Debit Card
364,622,2024-04-04,Completed,Net Banking
365,225,2023-06-24,Completed,Wallet
366,597,2023-05-27,Completed,Wallet
367,524,2024-11-06,Completed,Debit Card
368,465,2023-12-17,Cancelled,Wallet
369,236,2023-03-12,Completed,Net Banking
370,112,2023-05-16,Completed,Debit Card
371,517,2024-06-19,Completed,Debit Card
372,99,2024-09-12,Completed,Net Banking
373,615,2024-09-21,Completed,Wallet
374,771,2024-05-30,Completed,Credit Card
375,676,2024-05-08,Completed,Wallet
376,2,2024-07-06,Completed,Wallet
377,380,2024-03-06,Completed,Wallet
378,235,2024-03-15,Completed,Net Banking
379,604,2023-12-25,Cancelled,Credit Card
380,138,2024-03-11,Completed,Net Banking
381,86,2023-08-27,Completed,Wallet
382,419,2024-07-10,Completed,Debit Card
383,727,2023-01-06,Completed,Wallet
384,121,2024-06-19,Cancelled,Credit Card
385,671,2024-01-20,Completed,UPI
386,371,2024-02-23,Completed,Debit Card
387,668,2024-03-12,Cancelled,UPI
388,549,2023-09-25,Completed,Wallet
389,627,2024-01-10,Completed,Net Banking
390,424,2023-07-28,Cancelled,Wallet
391,184,2024-05-09,Completed,Wallet
392,496,2024-07-22,Completed,UPI
393,353,2024-08-14,Completed,Debit Card
394,122,2024-11-06,Completed,Net Banking
395,103,2023-06-15,Completed,Wallet
396,347,2024-02-15,Cancelled,Wallet
397,724,2024-12-01,Completed,Debit Card
398,652,2024-02-03,Completed,Credit Card
399,483,2023-05-29,Cancelled,Net Banking
400,66,2023-04-01,Completed,Debit Card
401,82,2024-01-15,Cancelled,Credit Card
402,411,2024-01-29,Cancelled,Wallet
403,729,2023-10-21,Cancelled,Credit Card
404,656,2023-06-29,Completed,Net Banking
405,207,2023-01-11,Cancelled,UPI
406,35,2023-07-19,Cancelled,Wallet
407,716,2024-06-12,Completed,Wallet
408,691,2023-06-23,Completed,UPI
409,671,2023-09-02,Completed,Debit Card
410,283,2023-03-30,Completed,UPI
411,405,2024-11-16,Completed,Wallet
412,531,2023-07-25,Completed,Credit Card
413,563,2023-04-03,Completed,Wallet
414,357,2024-08-19,Completed,UPI
415,621,2023-08-20,Completed,Net Banking
416,589,2024-02-18,Completed,UPI
417,417,2023-06-29,Cancelled,Credit Card
418,75,2024-07-26,Cancelled,UPI
419,120,2023-12-15,Cancelled,UPI
420,589,2024-07-04,Completed,Net Banking
421,577,2024-01-22,Completed,Debit Card
422,795,2023-12-14,Completed,Net Banking
423,29,2024-08-23,Completed,Credit Card
424,70,2023-09-22,Completed,Debit Card
425,719,2024-11-24,Completed,UPI
426,362,2024-02-27,Cancelled,Wallet
427,718,2023-01-10,Completed,Debit Card
428,96,2023-10-22,Completed,UPI
429,568,2023-03-19,Completed,Net Banking
430,363,2023-11-18,Completed,Wallet
431,188,2023-10-03,Completed,Net Banking
432,241,2023-07-24,Completed,UPI
433,235,2023-07-31,Completed,Debit Card
434,365,2024-09-25,Completed,Credit Card
435,81,2023-05-03,Completed,Wallet
436,783,2023-01-07,Cancelled,Credit Card
437,381,2024-05-08,Cancelled,UPI
438,589,2024-05-19,Completed,Net Banking
439,783,2023-07-07,Cancelled,UPI
440,228,2024-02-12,Cancelled,Debit Card
441,539,2023-02-25,Completed,Net Banking
442,34,2024-07-07,Cancelled,UPI
443,703,2024-02-08,Completed,Net Banking
444,716,2023-05-04,Cancelled,Net Banking
445,706,2023-11-20,Completed,Credit Card
446,216,2024-11-21,Completed,Wallet
447,334,2023-04-14,Completed,Wallet
448,192,2023-09-23,Cancelled,UPI
449,276,2023-08-31,Completed,Wallet
450,375,2023-12-18,Completed,Net Banking
451,216,2024-03-10,Completed,UPI
452,411,2024-01-09,Completed,Net Banking
453,586,2023-07-04,Completed,Wallet
454,103,2023-08-23,Completed,Debit Card
455,443,2024-07-22,Completed,Debit Card
456,757,2023-05-30,Completed,Net Banking
457,181,2023-01-10,Completed,Net Banking
458,646,2023-05-18,Cancelled,Wallet
459,499,2023-11-20,Completed,UPI
460,582,2024-07-29,Completed,Net Banking
461,708,2023-04-12,Completed,Credit Card
462,261,2023-08-09,Completed,Credit Card
463,763,2024-04-05,Completed,UPI
464,369,2024-01-05,Cancelled,Wallet
465,353,2023-09-21,Completed,Net Banking
466,360,2023-05-05,Cancelled,Debit Card
467,590,2024-08-13,Cancelled,Debit Card
468,364,2023-10-19,Completed,Wallet
469,794,2024-05-14,Completed,Credit Card
470,629,2024-01-26,Completed,Net Banking
471,149,2024-10-08,Completed,UPI
472,647,2024-03-07,Cancelled,Wallet
473,74,2024-02-19,Completed,Debit Card
474,234,2023-12-18,Completed,UPI
475,299,2024-10-30,Completed,Wallet
476,405,2024-10-22,Completed,Net Banking
477,766,2024-01-07,Cancelled,Wallet
478,424,2024-04-06,Completed,Debit Card
479,129,2023-01-24,Completed,UPI
480,216,2023-03-23,Completed,Net Banking
481,98,2023-04-16,Completed,Net Banking
482,56,2024-07-15,Completed,Net Banking
483,784,2024-06-20,Completed,Credit Card
484,633,2023-09-26,Completed,Credit Card
485,400,2024-11-01,Completed,Debit Card
486,756,2023-09-11,Completed,Net Banking
487,130,2024-10-03,Completed,Wallet
488,30,2023-06-24,Completed,UPI
489,488,2023-11-30,Completed,Wallet
490,562,2023-10-06,Completed,Debit Card
491,182,2024-07-06,Cancelled,Wallet
492,647,2024-04-12,Cancelled,Net Banking
493,656,2024-06-20,Cancelled,UPI
494,494,2023-12-22,Cancelled,Debit Card
495,453,2023-04-02,Completed,UPI
496,267,2024-02-27,Completed,UPI
497,1,2023-01-11,Cancelled,Debit Card
498,294,2023-12-19,Completed,Wallet
499,705,2023-01-09,Completed,Net Banking
500,10,2023-11-03,Completed,UPI
501,237,2024-09-03,Completed,Wallet
502,194,2024-01-18,Completed,Wallet
503,405,2024-03-23,Completed,Debit Card
504,400,2024-10-23,Completed,Debit Card
505,82,2023-09-27,Completed,Debit Card
506,783,2024-06-13,Cancelled,UPI
507,665,2023-10-19,Cancelled,UPI
508,193,2024-02-27,Completed,Debit Card
509,297,2023-05-20,Completed,Net Banking
510,464,2024-09-24,Completed,Wallet
511,193,2024-05-18,Completed,Credit Card
512,51,2023-06-05,Cancelled,Credit Card
513,105,2023-07-10,Completed,UPI
514,733,2023-05-09,Completed,Credit Card
515,93,2023-08-27,Completed,Credit Card
516,223,2024-05-20,Completed,Net Banking
517,511,2023-11-16,Completed,Net Banking
518,339,2023-02-02,Completed,Debit Card
519,273,2023-02-27,Completed,Credit Card
520,482,2024-07-10,Completed,Debit Card
521,391,2023-09-14,Completed,Credit Card
522,395,2023-09-12,Completed,Debit Card
523,204,2023-02-04,Completed,Credit Card
524,682,2024-06-17,Completed,Net Banking
525,698,2024-02-03,Completed,UPI
526,645,2023-06-12,Completed,Wallet
527,126,2024-06-17,Completed,Net Banking
528,306,2024-10-15,Completed,UPI
529,683,2023-02-23,Completed,Credit Card
530,649,2023-08-30,Completed,UPI
531,172,2023-01-16,Completed,Wallet
532,406,2023-05-03,Completed,Credit Card
533,596,2023-02-13,Completed,Wallet
534,381,2023-06-08,Completed,Debit Card
535,512,2023-06-11,Completed,Wallet
536,778,2023-12-13,Completed,Credit Card
537,661,2023-12-31,Completed,Wallet
538,129,2023-04-20,Completed,Debit Card
539,572,2023-11-21,Completed,Net Banking
540,22,2023-07-17,Completed,UPI
541,257,2023-05-18,Completed,Net Banking
542,573,2024-03-24,Completed,Wallet
543,195,2024-05-16,Cancelled,Debit Card
544,357,2024-07-10,Completed,Net Banking
545,614,2023-10-09,Cancelled,Debit Card
546,544,2023-03-12,Completed,Net Banking
547,270,2023-10-30,Cancelled,UPI
548,1,2024-04-09,Cancelled,Net Banking
549,20,2023-07-09,Cancelled,UPI
550,245,2024-09-27,Completed,Credit Card
551,552,2024-11-05,Completed,Debit Card
552,700,2024-06-20,Completed,Wallet
553,628,2023-06-07,Completed,UPI
554,657,2024-02-24,Completed,Credit Card
555,536,2023-04-09,Completed,Credit Card
556,183,2023-05-13,Completed,Debit Card
557,498,2023-04-20,Completed,Credit Card
558,585,2023-02-02,Completed,Net Banking
559,639,2024-06-22,Cancelled,UPI
560,376,2023-02-20,Completed,Wallet
561,14,2023-03-14,Completed,Net Banking
562,480,2023-03-23,Completed,UPI
563,762,2024-07-25,Completed,UPI
564,632,2023-03-01,Completed,Wallet
565,752,2023-02-11,Completed,UPI
566,222,2023-03-21,Cancelled,Credit Card
567,743,2023-04-14,Completed,Wallet
568,195,2024-01-30,Completed,Wallet
569,255,2024-11-03,Cancelled,Debit Card
570,768,2024-07-25,Cancelled,Net Banking
571,785,2023-04-19,Cancelled,UPI
572,470,2024-11-21,Completed,Credit Card
573,185,2023-06-20,Cancelled,Net Banking
574,346,2024-05-31,Completed,Wallet
575,454,2024-09-06,Completed,UPI
576,333,2024-07-17,Completed,Net Banking
577,441,2024-10-10,Completed,Wallet
578,577,2023-09-04,Cancelled,Debit Card
579,785,2024-01-20,Cancelled,UPI
580,464,2024-01-04,Completed,Net Banking
581,744,2023-01-01,Completed,UPI
582,17,2024-09-02,Cancelled,Debit Card
583,7,2023-11-06,Completed,Debit Card
584,323,2023-08-08,Completed,UPI
585,524,2024-07-20,Cancelled,Wallet
586,159,2024-08-08,Completed,Credit Card
587,365,2024-04-16,Completed,Debit Card
588,376,2023-09-29,Cancelled,Debit Card
589,263,2023-08-27,Completed,Credit Card
590,410,2024-08-07,Cancelled,Debit Card
591,741,2023-03-21,Completed,Net Banking
592,500,2023-06-27,Cancelled,Credit Card
593,658,2024-09-01,Completed,Credit Card
594,391,2024-08-13,Completed,Credit Card
595,357,2023-12-09,Completed,Net Banking
596,789,2023-05-04,Completed,Wallet
597,650,2023-01-12,Completed,Credit Card
598,537,2023-11-09,Completed,UPI
599,579,2024-07-06,Completed,UPI
600,715,2024-05-29,Completed,Debit Card
601,690,2023-02-21,Completed,Net Banking
602,590,2024-09-01,Cancelled,Credit Card
603,443,2023-08-16,Completed,Net Banking
604,136,2023-06-01,Completed,Credit Card
605,586,2024-05-02,Completed,Wallet
606,269,2024-02-13,Completed,Net Banking
607,445,2024-05-28,Completed,Debit Card
608,573,2024-05-07,Completed,Net Banking
609,668,2024-02-09,Cancelled,Debit Card
610,631,2024-07-28,Cancelled,Debit Card
611,74,2023-09-06,Completed,Net Banking
612,702,2023-11-28,Cancelled,Credit Card
613,688,2023-04-26,Completed,Net Banking
614,357,2024-01-10,Completed,UPI
615,609,2023-12-19,Completed,UPI
616,359,2023-06-23,Cancelled,Net Banking
617,150,2024-09-30,Completed,Credit Card
618,205,2023-08-28,Completed,Debit Card
619,116,2023-03-29,Completed,Debit Card
620,152,2024-09-27,Completed,Credit Card
621,711,2023-12-18,Completed,UPI
622,483,2024-04-05,Completed,UPI
623,758,2023-08-03,Cancelled,Debit Card
624,560,2023-07-28,Cancelled,UPI
625,495,2024-07-15,Cancelled,Debit Card
626,19,2024-11-15,Completed,Wallet
627,540,2024-11-10,Completed,UPI
628,62,2023-06-24,Completed,Debit Card
629,278,2024-09-24,Completed,Net Banking
630,9,2024-11-01,Completed,Net Banking
631,278,2024-11-07,Completed,Credit Card
632,300,2023-01-20,Completed,Debit Card
633,521,2024-01-25,Completed,UPI
634,612,2024-05-11,Cancelled,Credit Card
635,204,2023-07-10,Cancelled,Net Banking
636,730,2024-07-28,Completed,Credit Card
637,543,2023-09-11,Completed,UPI
638,403,2024-05-16,Completed,Credit Card
639,701,2023-12-22,Completed,UPI
640,310,2024-10-02,Completed,Wallet
641,64,2023-10-10,Completed,Net Banking
642,569,2023-01-31,Completed,Debit Card
643,350,2023-06-05,Completed,Debit Card
644,748,2023-03-31,Completed,Wallet
645,628,2024-11-25,Completed,Net Banking
646,587,2023-09-04,Completed,Net Banking
647,620,2023-11-16,Completed,Net Banking
648,135,2024-07-09,Completed,Debit Card
649,555,2024-08-17,Completed,Debit Card
650,706,2023-11-13,Cancelled,Debit Card
651,789,2024-03-16,Completed,Wallet
652,326,2023-06-11,Completed,Wallet
653,737,2024-06-29,Completed,Debit Card
654,150,2023-11-22,Completed,UPI
655,422,2024-02-28,Completed,Net Banking
656,757,2024-10-14,Completed,Debit Card
657,110,2023-07-12,Completed,Debit Card
658,781,2023-01-27,Cancelled,Wallet
659,621,2023-10-01,Cancelled,Wallet
660,611,2023-08-25,Completed,Debit Card
661,368,2023-01-27,Completed,Net Banking
662,515,2023-05-18,Cancelled,Net Banking
663,383,2024-10-27,Completed,Net Banking
664,486,2024-05-18,Completed,Debit Card
665,232,2023-07-17,Completed,Net Banking
666,277,2023-01-16,Completed,Debit Card
667,208,2024-11-18,Completed,Credit Card
668,450,2023-07-01,Cancelled,Net Banking
669,469,2023-11-29,Completed,Net Banking
