transaction_id,user_id,merchant_id,amount,status,transaction_time
39,502,21,26.23,approved,2024-03-25 03:38:00
40,778,35,84.46,approved,2024-06-17 11:05:00
41,1311,89,16.35,declined,2024-04-11 09:21:00
42,450,88,74.9,declined,2024-02-29 00:48:00
43,1727,99,198.99,approved,2024-05-21 06:23:00
44,115,30,9.62,approved,2024-05-29 14:30:00
45,66,104,64.99,approved,2024-02-27 10:14:00
46,822,35,19.66,approved,2024-01-13 01:10:00
47,433,117,7.71,approved,2024-06-20 15:38:00
48,1162,113,48.01,approved,2024-05-10 16:36:00
49,645,28,45.43,approved,2024-04-29 07:39:00
50,1023,51,53.01,approved,2024-06-10 01:14:00
51,1873,83,65.41,approved,2024-03-24 12:45:00
52,293,34,47.31,approved,2024-01-26 10:03:00
53,506,96,185.35,approved,2024-04-12 04:39:00
54,1104,34,94.56,approved,2024-05-15 23:45:00
55,1198,55,30.93,approved,2024-06-12 10:38:00
56,1196,52,218.69,approved,2024-03-06 21:35:00
57,450,18,114.75,approved,2024-04-02 18:09:00
58,1011,12,154.48,approved,2024-05-17 14:03:00
59,97,111,5.13,approved,2024-01-20 23:03:00
60,314,81,72.66,approved,2024-01-30 02:58:00
61,1623,88,163.48,approved,2024-03-17 20:26:00
62,1222,9,69.56,approved,2024-03-11 01:04:00
63,782,77,31.44,approved,2024-03-26 04:56:00
64,1084,33,116.82,approved,2024-06-25 18:42:00
65,1134,111,172.12,approved,2024-06-20 13:32:00
66,24,88,26.1,approved,2024-05-11 04:52:00
67,235,88,34.42,approved,2024-06-10 01:41:00
68,1100,97,11.06,approved,2024-02-18 13:46:00
69,1575,83,104.31,approved,2024-03-02 22:14:00
70,229,38,115.71,approved,2024-03-20 03:31:00
71,324,59,14.15,approved,2024-01-01 14:10:00
72,1954,93,115.99,approved,2024-06-08 10:39:00
73,1474,34,83.39,approved,2024-06-25 22:14:00
74,1026,98,53.15,approved,2024-02-02 12:32:00
75,1040,117,97.8,approved,2024-01-20 08:54:00
76,1783,81,172.94,approved,2024-02-24 07:55:00
77,1724,82,94.08,approved,2024-04-02 10:00:00
78,1248,26,66.25,approved,2024-01-28 19:45:00
79,766,98,137.05,approved,2024-01-30 09:49:00
80,1105,100,71.12,approved,2024-06-16 22:10:00
81,1087,118,127.04,approved,2024-01-01 02:29:00
82,1227,42,45.69,approved,2024-03-29 22:45:00
83,40,15,29.86,approved,2024-06-18 03:17:00
84,744,113,161.58,approved,2024-06-28 08:56:00
85,1704,104,251.4,approved,2024-02-25 23:32:00
86,491,8,6.48,approved,2024-02-13 20:23:00
87,1799,73,10.69,declined,2024-06-21 09:17:00
88,162,11,246.93,approved,2024-05-13 05:45:00
89,996,105,66.7,approved,2024-01-13 14:23:00
90,1558,69,49.71,approved,2024-05-19 09:58:00
91,258,17,25.28,approved,2024-04-30 02:29:00
92,974,71,51.19,declined,2024-01-31 01:27:00
93,543,68,136.96,approved,2024-06-07 19:43:00
94,1243,55,66.61,approved,2024-06-24 13:21:00
95,434,119,38.16,approved,2024-04-08 04:13:00
96,1547,94,411.45,approved,2024-05-05 14:04:00
97,412,92,94.67,approved,2024-02-26 17:54:00
98,818,86,202.97,approved,2024-04-28 07:21:00
99,765,57,31.68,approved,2024-06-12 18:28:00
100,1060,58,6.68,approved,2024-01-23 00:40:00
101,508,29,8.49,approved,2024-01-12 15:44:00
102,693,3,15.1,approved,2024-04-17 02:21:00
103,1135,30,56.78,approved,2024-04-17 02:56:00
104,452,1,16.97,approved,2024-01-13 22:10:00
105,1450,81,57.75,approved,2024-01-11 17:13:00
106,469,9,14.82,approved,2024-06-13 19:50:00
107,65,111,60.85,approved,2024-03-01 03:39:00
108,146,66,134.96,declined,2024-02-13 07:51:00
109,571,86,79.5,approved,2024-03-29 08:48:00
110,439,70,173.57,declined,2024-01-25 02:04:00
111,1482,120,117.37,approved,2024-06-09 15:11:00
112,1170,74,76.76,approved,2024-03-27 01:07:00
113,498,101,22.28,approved,2024-03-27 02:27:00
114,1654,53,146.67,approved,2024-02-04 15:54:00
115,194,13,47.37,approved,2024-04-29 23:08:00
116,883,46,15.07,approved,2024-03-18 02:38:00
117,842,60,131.05,approved,2024-06-06 06:09:00
118,1494,7,21.46,declined,2024-05-02 13:58:00
119,1339,83,23.85,approved,2024-01-18 21:59:00
120,125,52,284.51,approved,2024-05-12 13:36:00
121,695,103,101.21,approved,2024-06-05 20:42:00
122,224,32,14.85,approved,2024-02-04 21:04:00
123,390,69,61.04,approved,2024-03-22 16:01:00
124,288,55,61.77,approved,2024-02-03 09:40:00
125,571,60,56.97,approved,2024-02-15 11:25:00
126,1791,119,121.87,approved,2024-01-14 17:21:00
127,908,104,85.25,approved,2024-06-05 19:17:00
128,1754,71,65.59,approved,2024-01-18 19:46:00
129,104,84,144.87,approved,2024-04-08 09:51:00
130,1713,2,211.24,approved,2024-06-25 09:36:00
131,192,119,71.02,approved,2024-05-17 04:22:00
132,1739,31,213.63,approved,2024-01-31 06:37:00
133,833,63,144.35,approved,2024-03-28 15:05:00
134,438,111,69.23,approved,2024-03-14 00:10:00
135,1849,8,49.41,declined,2024-01-30 23:18:00
136,777,1,90.78,approved,2024-06-28 08:52:00
137,800,34,221.19,approved,2024-06-17 16:01:00
138,1606,101,64.74,approved,2024-03-23 19:57:00
139,585,55,104.77,approved,2024-05-06 19:27:00
140,1961,94,55.99,approved,2024-05-22 14:33:00
141,1139,85,43.01,approved,2024-05-10 18:46:00
142,997,20,47.63,approved,2024-02-04 13:40:00
143,608,28,47.53,approved,2024-06-25 08:21:00
144,120,75,73.6,approved,2024-05-13 22:29:00
145,1111,8,108.36,approved,2024-05-16 03:57:00
146,643,8,12.29,approved,2024-01-10 03:04:00
147,1197,62,68.08,approved,2024-04-01 12:59:00
148,1883,110,67.82,approved,2024-04-06 16:31:00
149,323,8,156.2,approved,2024-06-23 21:42:00
150,1041,11,27.54,approved,2024-06-03 23:34:00
151,381,9,38.59,approved,2024-04-18 07:44:00
152,140,87,72.59,approved,2024-06-05 21:20:00
153,482,52,105.34,approved,2024-01-22 19:47:00
154,1929,114,51.93,approved,2024-04-13 16:56:00
155,505,75,11.75,approved,2024-04-18 05:29:00
156,82,80,109.41,approved,2024-01-15 22:11:00
157,859,85,78.18,approved,2024-04-16 06:06:00
158,1158,67,181.75,approved,2024-02-27 14:14:00
159,1915,34,5.31,approved,2024-02-07 04:25:00
160,1372,92,75.0,approved,2024-02-27 04:41:00
161,489,34,9.48,approved,2024-03-13 01:12:00
162,269,86,60.32,approved,2024-04-27 12:14:00
163,615,59,169.85,approved,2024-02-27 13:23:00
164,1903,97,58.46,approved,2024-06-19 08:17:00
165,149,2,29.28,approved,2024-03-24 10:16:00
166,1273,73,146.47,approved,2024-01-19 04:49:00
167,151,69,204.33,approved,2024-02-08 19:17:00
168,1037,34,33.45,approved,2024-01-25 02:42:00
169,1912,45,34.94,approved,2024-06-09 08:33:00
170,141,113,132.29,approved,2024-02-14 11:17:00
171,757,37,345.18,approved,2024-01-29 17:12:00
172,898,107,78.58,approved,2024-04-08 21:21:00
173,1441,39,67.93,approved,2024-04-21 08:27:00
174,1653,84,114.26,approved,2024-04-06 06:58:00
175,17,86,6.62,approved,2024-05-28 17:58:00
176,1136,39,44.21,approved,2024-06-18 14:54:00
177,1359,14,54.92,approved,2024-06-19 22:14:00
178,1799,18,57.36,approved,2024-02-18 03:28:00
179,237,114,24.79,approved,2024-01-20 11:38:00
180,1521,71,77.59,approved,2024-01-29 07:09:00
181,558,37,7.18,approved,2024-04-20 02:32:00
182,432,92,13.98,approved,2024-03-03 10:04:00
183,417,88,45.31,approved,2024-04-25 11:01:00
184,1747,34,136.03,approved,2024-04-02 00:09:00
185,1001,33,266.83,approved,2024-06-13 19:28:00
186,1860,109,82.05,approved,2024-01-10 05:56:00
187,190,82,92.9,approved,2024-03-18 02:37:00
188,1699,36,49.8,approved,2024-01-09 00:37:00
189,8,43,6.79,approved,2024-05-20 09:04:00
190,268,82,37.48,approved,2024-06-27 08:48:00
191,537,21,16.91,approved,2024-05-14 22:29:00
192,905,71,160.57,declined,2024-05-08 11:06:00
193,876,72,59.24,approved,2024-01-02 18:14:00
194,230,10,159.79,approved,2024-06-21 00:59:00
195,1809,89,34.62,declined,2024-06-13 13:19:00
196,306,70,63.0,approved,2024-01-07 13:24:00
197,1710,48,20.72,approved,2024-04-16 01:01:00
198,1132,19,152.67,approved,2024-03-19 05:46:00
199,262,6,36.54,approved,2024-02-26 02:48:00
200,747,116,69.86,approved,2024-06-18 20:43:00
201,1631,111,23.55,approved,2024-01-08 06:18:00
202,1841,46,12.04,approved,2024-02-08 05:50:00
203,1397,32,96.25,approved,2024-05-01 09:52:00
204,211,46,145.67,approved,2024-05-22 00:22:00
205,1147,114,129.48,approved,2024-06-08 05:40:00
206,833,80,17.12,approved,2024-05-16 10:31:00
207,317,119,63.4,approved,2024-06-18 06:42:00
208,485,111,149.89,approved,2024-01-30 13:58:00
209,2000,103,216.15,approved,2024-05-27 14:18:00
210,363,113,34.25,approved,2024-03-16 01:20:00
211,51,23,100.31,approved,2024-05-14 02:05:00
212,1894,43,12.78,approved,2024-05-22 10:17:00
213,1907,53,142.92,approved,2024-05-26 01:01:00
214,1372,111,130.58,approved,2024-05-13 19:30:00
215,1661,32,57.66,approved,2024-02-18 13:41:00
216,327,101,20.35,approved,2024-05-07 15:55:00
217,222,49,104.52,approved,2024-06-07 18:33:00
218,80,110,74.91,approved,2024-03-26 16:28:00
219,456,26,15.36,approved,2024-05-28 15:43:00
220,1881,59,21.25,approved,2024-03-04 15:40:00
221,626,106,58.43,approved,2024-05-24 18:55:00
222,1785,30,27.89,approved,2024-02-10 13:58:00
223,49,85,31.24,approved,2024-02-05 03:47:00
224,817,43,109.16,approved,2024-02-20 17:14:00
225,1771,9,28.82,approved,2024-06-25 00:24:00
226,1584,36,43.96,approved,2024-03-04 22:10:00
227,1314,66,160.04,approved,2024-03-13 18:13:00
228,1392,108,135.83,approved,2024-04-07 14:45:00
229,679,4,10.78,approved,2024-01-21 23:56:00
230,1797,34,44.26,approved,2024-02-02 12:10:00
231,1190,34,108.19,approved,2024-01-07 23:08:00
232,223,77,163.72,approved,2024-03-20 02:38:00
233,708,94,157.96,approved,2024-05-23 03:57:00
234,643,56,9.07,approved,2024-04-20 08:34:00
235,1048,15,10.21,approved,2024-03-11 02:56:00
236,1843,74,94.36,approved,2024-02-04 14:28:00
237,522,6,20.84,approved,2024-05-09 00:43:00
238,894,1,53.94,approved,2024-04-04 15:33:00
239,1896,104,127.23,approved,2024-04-08 00:31:00
240,1407,93,53.82,approved,2024-06-20 04:04:00
241,1520,95,14.7,approved,2024-05-02 02:01:00
242,404,47,145.81,approved,2024-03-19 12:22:00
243,144,86,322.83,approved,2024-06-16 14:54:00
244,677,80,130.59,approved,2024-02-27 03:31:00
245,1359,109,49.26,approved,2024-01-23 16:29:00
246,1475,116,106.57,approved,2024-02-24 16:07:00
247,1039,40,235.28,approved,2024-05-01 09:41:00
248,837,42,13.48,approved,2024-03-14 06:06:00
249,1428,38,81.72,approved,2024-04-10 22:15:00
250,261,25,39.0,approved,2024-03-17 12:57:00
251,1362,49,39.49,approved,2024-05-03 07:14:00
252,1533,116,177.89,approved,2024-02-01 16:20:00
253,1261,73,46.43,declined,2024-02-24 18:52:00
254,832,71,167.33,approved,2024-05-31 18:36:00
255,1,39,63.16,approved,2024-02-22 05:32:00
256,431,56,63.25,approved,2024-05-23 01:01:00
257,1188,78,97.46,approved,2024-04-29 04:27:00
258,660,60,23.0,approved,2024-03-21 10:11:00
259,906,87,19.88,approved,2024-02-08 21:40:00
260,1047,61,48.46,approved,2024-05-24 11:52:00
261,1846,102,20.09,approved,2024-05-13 23:27:00
262,348,85,19.39,approved,2024-01-16 10:28:00
263,582,66,35.55,approved,2024-04-30 20:25:00
264,1297,80,62.94,approved,2024-03-02 00:27:00
265,192,105,116.47,approved,2024-06-22 07:20:00
266,1539,31,113.83,approved,2024-05-02 11:29:00
267,636,29,162.67,approved,2024-05-26 19:55:00
268,408,19,5.85,approved,2024-01-05 10:42:00
269,95,32,157.28,approved,2024-06-28 02:52:00
270,974,79,7.87,approved,2024-06-03 16:33:00
271,1574,10,134.57,approved,2024-03-23 21:44:00
272,849,114,66.66,approved,2024-04-24 15:29:00
273,1179,25,106.62,approved,2024-05-10 18:30:00
274,1427,50,35.41,approved,2024-03-30 23:58:00
275,819,32,56.75,approved,2024-01-27 20:44:00
276,1344,89,46.18,approved,2024-01-02 00:13:00
277,1829,97,83.57,approved,2024-06-05 15:19:00
278,1578,114,42.34,approved,2024-01-20 09:41:00
279,1595,55,100.2,declined,2024-02-09 20:07:00
280,361,103,437.49,approved,2024-06-23 09:25:00
281,1426,67,28.28,approved,2024-03-25 13:38:00
282,103,72,155.33,approved,2024-02-15 08:45:00
283,1879,109,248.08,approved,2024-01-23 02:13:00
284,935,18,345.38,approved,2024-05-25 21:26:00
285,952,86,137.26,approved,2024-04-06 16:33:00
286,1145,77,5.71,approved,2024-02-27 18:17:00
287,1946,97,33.74,approved,2024-06-11 06:41:00
288,907,79,61.31,approved,2024-05-28 08:49:00
289,1474,115,85.53,approved,2024-04-01 21:24:00
290,874,107,15.29,declined,2024-06-14 02:06:00
291,1123,58,21.56,approved,2024-06-12 07:57:00
292,326,96,58.57,approved,2024-06-05 19:55:00
293,973,58,13.36,approved,2024-02-17 04:25:00
294,1540,32,84.22,approved,2024-06-01 21:25:00
295,1306,36,83.99,declined,2024-05-19 09:53:00
296,1593,67,484.9,approved,2024-03-29 05:14:00
297,1284,31,26.49,approved,2024-02-19 23:44:00
298,901,10,45.75,approved,2024-05-09 21:31:00
299,586,31,23.2,declined,2024-02-19 11:08:00
300,688,41,205.59,approved,2024-06-11 13:41:00
301,1107,11,38.1,approved,2024-01-26 04:33:00
302,309,30,26.85,approved,2024-03-10 17:30:00
303,1422,20,86.82,approved,2024-05-08 14:23:00
304,439,9,113.03,approved,2024-03-16 12:35:00
305,835,43,89.81,approved,2024-04-08 18:42:00
306,955,54,76.93,approved,2024-01-12 08:02:00
307,424,107,16.45,approved,2024-03-17 11:38:00
308,798,116,32.59,declined,2024-05-20 03:17:00
309,1197,90,25.95,approved,2024-01-04 13:20:00
310,1755,113,41.88,approved,2024-05-19 08:56:00
311,1180,49,15.07,declined,2024-03-27 19:57:00
312,13,46,165.54,approved,2024-02-24 08:39:00
313,1544,50,94.68,approved,2024-06-04 08:46:00
314,1827,107,38.11,approved,2024-03-17 06:43:00
315,1103,96,11.45,approved,2024-05-13 17:39:00
316,1119,103,75.42,approved,2024-04-19 19:39:00
317,1839,29,222.42,approved,2024-03-29 21:06:00
318,450,35,132.72,approved,2024-03-20 08:11:00
319,995,4,116.01,approved,2024-03-11 18:56:00
320,689,86,62.8,approved,2024-05-03 15:12:00
321,1635,52,55.32,approved,2024-05-11 19:59:00
322,339,108,66.46,approved,2024-03-26 02:03:00
323,1884,17,51.9,declined,2024-06-27 12:50:00
324,1275,69,32.96,approved,2024-01-05 21:49:00
325,1858,51,118.15,approved,2024-04-17 18:01:00
326,1156,85,164.4,declined,2024-01-05 22:24:00
327,172,83,49.53,approved,2024-03-19 00:38:00
328,278,111,7.47,approved,2024-03-25 01:11:00
329,373,7,170.73,approved,2024-02-17 08:38:00
330,777,42,18.8,approved,2024-02-08 12:45:00
331,932,42,143.39,approved,2024-03-02 10:33:00
332,1559,113,46.09,approved,2024-03-10 00:25:00
333,570,97,151.33,approved,2024-06-22 03:52:00
334,1704,54,81.37,approved,2024-02-15 22:11:00
335,1710,11,62.59,approved,2024-03-26 14:48:00
336,40,96,294.73,approved,2024-04-08 04:45:00
337,107,45,5.77,approved,2024-02-10 19:38:00
338,1332,9,42.71,approved,2024-05-22 05:15:00
339,1961,84,5.57,approved,2024-01-08 07:53:00
340,1545,4,36.95,approved,2024-06-21 20:55:00
341,507,26,52.86,approved,2024-06-01 18:38:00
342,42,80,39.69,approved,2024-01-28 17:46:00
343,489,17,63.98,approved,2024-03-27 05:01:00
344,1372,15,265.39,approved,2024-04-12 16:01:00
345,1942,28,121.15,approved,2024-03-25 15:45:00
346,1433,33,8.86,approved,2024-05-19 14:37:00
347,756,22,21.74,approved,2024-04-20 07:11:00
348,1244,96,224.69,approved,2024-05-10 18:33:00
349,235,100,32.43,approved,2024-05-29 03:34:00
350,336,40,14.5,approved,2024-01-20 16:17:00
351,1186,4,72.23,approved,2024-06-18 02:22:00
352,639,74,350.52,approved,2024-05-03 07:22:00
353,1860,49,62.01,approved,2024-03-13 05:00:00
354,1929,92,128.04,approved,2024-02-06 02:30:00
355,156,76,237.58,approved,2024-05-05 17:20:00
356,1702,81,218.89,approved,2024-02-14 05:01:00
357,209,90,68.4,approved,2024-05-20 15:01:00
358,618,109,29.38,approved,2024-05-04 13:34:00
359,1230,104,36.36,declined,2024-01-23 00:53:00
360,1631,73,143.82,approved,2024-05-22 11:23:00
361,85,45,75.87,approved,2024-04-06 23:35:00
362,878,85,44.84,approved,2024-03-08 11:02:00
363,142,65,109.75,approved,2024-04-27 21:09:00
364,699,2,10.28,approved,2024-06-03 15:51:00
365,861,106,14.81,approved,2024-03-30 05:43:00
366,217,56,56.13,approved,2024-06-23 21:44:00
367,742,82,44.93,approved,2024-06-11 07:21:00
368,1698,59,39.12,approved,2024-05-08 18:16:00
369,314,56,83.51,declined,2024-02-02 01:33:00
370,1503,67,96.08,approved,2024-06-24 18:13:00
371,1333,35,80.37,declined,2024-04-22 02:57:00
372,1656,118,129.17,approved,2024-04-07 23:18:00
373,1587,62,66.11,approved,2024-03-25 15:03:00
374,893,106,115.49,approved,2024-05-13 01:54:00
375,1214,35,166.5,declined,2024-02-28 16:10:00
376,1745,32,26.61,approved,2024-05-31 05:31:00
377,1915,12,13.16,approved,2024-02-20 18:39:00
378,1806,58,16.07,approved,2024-02-14 09:27:00
379,1537,60,154.15,approved,2024-04-13 17:42:00
380,1250,86,30.36,approved,2024-03-09 23:49:00
381,689,4,33.01,approved,2024-03-30 23:39:00
382,1743,42,93.21,approved,2024-02-03 02:28:00
383,999,28,157.76,approved,2024-03-05 14:15:00
384,1634,34,6.1,approved,2024-03-02 22:57:00
385,573,113,7.35,approved,2024-04-18 12:38:00
386,1437,113,7.63,approved,2024-02-20 07:02:00
387,1139,2,62.7,approved,2024-04-04 01:10:00
388,1942,25,38.0,approved,2024-01-16 14:02:00
389,495,93,21.61,approved,2024-03-14 23:42:00
390,1001,72,26.53,approved,2024-05-18 00:28:00
391,493,89,21.41,approved,2024-03-27 16:04:00
392,1323,92,62.54,approved,2024-03-30 08:25:00
393,918,102,11.64,approved,2024-01-04 03:20:00
394,191,38,89.99,approved,2024-02-10 08:10:00
395,829,89,27.39,approved,2024-02-14 07:00:00
396,628,85,213.11,approved,2024-04-15 20:51:00
397,756,61,44.38,approved,2024-04-10 18:09:00
398,1088,45,29.36,approved,2024-03-18 11:03:00
399,1528,71,106.32,approved,2024-03-01 05:14:00
400,721,90,78.22,approved,2024-03-23 14:26:00
401,555,40,62.72,approved,2024-02-15 18:23:00
402,473,16,150.34,approved,2024-05-11 07:20:00
403,395,41,180.87,approved,2024-01-22 18:20:00
404,1522,69,20.2,approved,2024-06-22 02:26:00
405,1561,89,15.18,approved,2024-02-03 16:55:00
406,393,28,14.0,approved,2024-05-14 11:00:00
407,992,36,16.97,approved,2024-05-11 21:45:00
408,1208,98,8.93,declined,2024-04-05 12:10:00
409,1223,37,104.35,approved,2024-06-27 11:54:00
410,206,107,120.47,approved,2024-02-05 08:06:00
411,607,30,125.9,approved,2024-03-06 16:42:00
412,368,39,86.96,approved,2024-01-03 13:48:00
413,1451,69,46.55,approved,2024-01-24 01:02:00
414,562,6,156.74,approved,2024-06-26 08:45:00
415,112,71,59.82,approved,2024-02-23 04:21:00
416,1429,17,59.2,declined,2024-04-26 02:53:00
417,1779,97,31.09,approved,2024-03-30 08:40:00
418,211,112,97.97,approved,2024-01-03 05:35:00
419,1176,37,48.22,approved,2024-03-26 10:49:00
420,981,57,227.23,approved,2024-03-03 00:34:00
421,378,7,15.14,approved,2024-02-15 23:05:00
422,1928,111,57.86,approved,2024-03-27 23:13:00
423,234,106,28.44,approved,2024-01-12 21:29:00
424,821,63,12.51,approved,2024-01-14 11:40:00
425,1182,81,30.3,approved,2024-05-04 23:09:00
426,110,20,107.53,approved,2024-01-28 03:51:00
427,1662,73,61.93,approved,2024-06-21 18:47:00
428,623,11,165.93,approved,2024-02-15 04:21:00
429,243,72,48.35,approved,2024-05-19 03:54:00
430,853,78,33.91,approved,2024-04-18 12:31:00
431,1620,80,40.54,approved,2024-02-11 02:02:00
432,1589,67,50.28,approved,2024-03-10 05:53:00
433,923,117,114.82,approved,2024-03-21 14:16:00
434,609,111,87.74,approved,2024-04-17 03:18:00
435,879,40,26.16,approved,2024-04-13 12:22:00
436,1272,8,401.3,approved,2024-04-20 23:31:00
437,1967,95,25.48,approved,2024-01-19 01:33:00
438,1941,98,165.93,approved,2024-02-07 19:50:00
439,1282,28,16.79,approved,2024-02-18 04:15:00
440,1353,11,140.47,declined,2024-01-29 14:11:00
441,492,23,197.41,approved,2024-04-10 11:41:00
442,154,21,9.32,approved,2024-01-01 11:41:00
443,837,58,72.33,approved,2024-05-05 11:54:00
444,1217,61,53.99,approved,2024-02-23 00:31:00
445,67,30,50.14,approved,2024-02-22 10:44:00
446,1448,37,5.17,approved,2024-05-07 23:23:00
447,1761,59,63.43,approved,2024-01-13 22:59:00
448,1408,30,20.31,approved,2024-06-17 04:37:00
449,542,101,105.27,approved,2024-05-24 01:00:00
450,1281,76,7.2,approved,2024-04-30 08:45:00
451,1647,120,33.13,declined,2024-02-06 00:17:00
452,871,15,15.65,approved,2024-04-09 03:13:00
453,461,83,9.33,approved,2024-01-28 02:56:00
454,1861,35,69.59,approved,2024-05-30 11:36:00
455,292,10,53.57,approved,2024-01-11 20:33:00
456,340,102,34.01,approved,2024-02-25 23:58:00
457,1219,96,33.74,approved,2024-05-30 01:09:00
458,1166,118,84.2,approved,2024-02-22 12:57:00
459,900,16,8.16,approved,2024-03-26 07:46:00
460,1411,39,120.78,approved,2024-05-07 09:10:00
461,825,35,136.51,approved,2024-04-01 02:35:00
462,1106,64,143.87,approved,2024-03-20 16:35:00
463,165,77,165.9,approved,2024-01-08 06:09:00
464,1822,56,33.14,approved,2024-05-13 17:13:00
465,661,78,50.25,declined,2024-02-15 13:52:00
466,53,12,24.91,approved,2024-02-11 16:11:00
467,1970,87,75.36,approved,2024-06-01 04:21:00
468,1763,74,64.42,approved,2024-04-16 21:10:00
469,1948,3,29.86,approved,2024-05-19 05:17:00
470,1377,106,50.77,approved,2024-02-19 01:30:00
471,1181,6,113.48,approved,2024-05-18 22:04:00
472,1549,23,35.35,approved,2024-03-26 15:38:00
473,1063,84,24.86,approved,2024-03-21 12:07:00
474,1877,36,188.74,approved,2024-02-03 00:56:00
475,1199,56,44.11,approved,2024-04-25 13:25:00
476,1668,63,284.18,approved,2024-06-25 09:52:00
477,187,61,61.58,approved,2024-03-04 08:15:00
478,837,43,220.47,approved,2024-02-28 10:43:00
479,1373,14,19.96,approved,2024-06-05 03:29:00
480,330,43,54.89,approved,2024-03-15 22:30:00
481,1421,64,78.88,approved,2024-02-22 11:14:00
482,1357,52,510.59,approved,2024-05-28 02:31:00
483,1558,71,25.19,approved,2024-01-07 16:19:00
484,932,12,39.19,approved,2024-02-27 06:08:00
485,517,42,12.7,approved,2024-01-22 02:28:00
486,1987,99,174.17,approved,2024-03-14 13:52:00
487,1772,66,66.98,approved,2024-05-30 04:09:00
488,3,85,121.84,approved,2024-06-07 06:19:00
489,1112,60,76.01,approved,2024-03-16 05:30:00
490,112,25,13.16,approved,2024-04-04 09:05:00
491,741,80,76.86,approved,2024-05-17 16:57:00
492,1021,81,161.34,approved,2024-03-21 11:18:00
493,1557,7,127.7,declined,2024-02-07 01:21:00
494,547,71,30.75,approved,2024-01-24 20:24:00
495,1900,37,219.45,approved,2024-03-20 18:09:00
496,1804,90,201.16,declined,2024-03-29 05:44:00
497,249,4,91.73,approved,2024-06-26 03:44:00
498,1291,78,115.76,approved,2024-05-25 12:15:00
499,491,91,34.33,approved,2024-01-29 19:57:00
500,637,71,38.61,approved,2024-01-03 11:44:00
501,1132,53,13.65,approved,2024-01-17 23:14:00
502,461,108,17.04,approved,2024-06-15 04:39:00
503,233,60,293.34,declined,2024-06-21 09:46:00
504,241,83,59.49,approved,2024-05-31 11:41:00
505,316,64,111.8,approved,2024-06-18 18:49:00
506,1468,38,73.03,approved,2024-04-02 15:17:00
507,1445,35,227.01,approved,2024-03-16 15:18:00
508,1710,62,52.27,approved,2024-06-27 10:45:00
509,968,32,37.51,approved,2024-03-24 03:43:00
510,1129,19,84.77,approved,2024-03-10 19:54:00
511,391,118,107.04,approved,2024-04-19 02:43:00
512,1041,96,79.46,approved,2024-06-09 01:50:00
513,280,111,64.9,approved,2024-01-13 17:00:00
514,566,99,97.11,approved,2024-05-23 19:35:00
515,1750,54,109.0,approved,2024-03-02 20:56:00
516,1914,101,21.8,approved,2024-04-02 10:20:00
517,548,106,241.21,approved,2024-01-01 11:12:00
518,580,93,15.67,approved,2024-02-24 08:24:00
519,1716,76,14.28,approved,2024-04-15 13:43:00
520,1352,63,516.06,approved,2024-06-06 12:22:00
521,305,58,31.73,declined,2024-04-08 01:05:00
522,992,45,276.84,approved,2024-03-01 12:27:00
523,1131,98,29.13,approved,2024-04-08 22:16:00
524,773,59,105.6,approved,2024-06-18 19:41:00
525,660,112,183.88,approved,2024-02-04 08:14:00
526,1429,31,31.7,approved,2024-04-14 02:13:00
